strain,id,flavors,positive,medical,Type,Rating,Flavor
Dopium,698,"Pine, Pungent, Earthy","Relaxed, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Nausea, Headache, Headaches",hybrid,4.5,"Earthy,Pine,Pungent"
Dorit,699,"Cheese, Earthy, Minty","Relaxed, Euphoric, Uplifted, Focused, Giggly","Pain, Stress, Inflammation",indica,4.4,"Ammonia,Spicy/Herbal,Minty"
Double Diesel,701,"Diesel, Lime, Citrus","Relaxed, Happy, Creative, Energetic, Focused","Depression, Insomnia, Stress, Lack of Appetite, Headache, Headaches",sativa,4.2,"Diesel,Lime,Citrus"
Double Dream,702,"Berry, Sweet, Flowery","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Inflammation",hybrid,4.5,"Sweet,Earthy,Berry"
Double Dutch,703,"Tar, Earthy, Sweet","Hungry, Euphoric, Happy, Uplifted","Depression, Stress, Lack of Appetite, Nausea, Inflammation",hybrid,4.3,"Tar,Earthy,Sweet"
Double Purple Doja,706,"Earthy, Grape, Pungent","Relaxed, Creative, Sleepy","Pain, Stress, Headaches, Inflammation, Muscle Spasms",indica,4.7,"Earthy,Grape,Pungent"
Double Tangie Banana,707,"Citrus, Orange, Sweet","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.4,"Citrus,Sweet,Orange"
Dreadlock,716,"Earthy, Diesel, Pine","Relaxed, Happy, Creative, Energetic, Focused","Depression, Pain, Stress",hybrid,4.0,"Earthy,Diesel,Sage"
Dream Beaver,717,"Pineapple, Woody, Earthy","Creative, Energetic, Talkative, Uplifted","Pain, Fatigue, Spasticity, Seizures, Muscle Spasms",sativa,4.7,"Pineapple,Woody,Spicy/Herbal"
Dream Berry,718,"Berry, Sweet, Grapefruit","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Nausea",indica,4.5,"Berry,Citrus,Diesel"
Dream Lotus,719,"Spicy/Herbal, Woody, Apple","Relaxed, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.3,"Spicy/Herbal,Woody,Tea"
Dream Police,720,"Earthy, Berry","Relaxed, Happy, Energetic, Uplifted, Aroused","Depression, Insomnia, Pain, Stress, Inflammation",hybrid,3.7,"Pepper,Blueberry,Citrus"
Dream Queen,721,"Sweet, Flowery, Earthy","Relaxed, Euphoric, Happy, Uplifted, Aroused","Depression, Insomnia, Pain, Stress, Headaches",hybrid,4.3,"Citrus,Sweet,Earthy"
Dream Star,722,"Earthy, Pungent, Sage","Euphoric, Happy, Creative, Talkative, Uplifted","Insomnia, Pain, Stress, Lack of Appetite, Nausea",hybrid,4.8,"Earthy,Woody,Sweet"
Drizella,724,"Earthy, Pungent, Sweet","Euphoric, Happy, Energetic, Uplifted, Giggly","Depression, Stress, Cramps, Fatigue, Headaches",sativa,4.8,"Sweet,Earthy,Pungent"
Duke Nukem,725,"Sweet, Pungent, Flowery","Happy, Creative, Energetic, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",hybrid,4.4,"Sweet,Pungent,Earthy"
Durban Berry,726,"Berry, Blueberry, Pine","Relaxed, Happy, Creative, Energetic, Focused","Depression, Stress, Lack of Appetite, Headaches, Eye Pressure",hybrid,4.6,"Pine,Citrus,Lemon"
Durban Cheese,727,"Cheese, Blue Cheese, Earthy","Relaxed, Hungry, Euphoric, Uplifted, Giggly","Pain, Stress, Cramps, Nausea, Headache, Fatigue",hybrid,4.2,"Blue,Cheese,Cheese,Earthy"
Durban Cookies,728,"Sweet, Earthy, Minty","Relaxed, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Headaches, Inflammation",sativa,4.5,"Sweet,Earthy,Woody"
Durban Poison,729,"Earthy, Sweet, Pine","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Headache, Fatigue, Headaches",sativa,4.4,"Earthy,Sweet,Pine"
Durga Mata,730,"Earthy, Minty, Pungent","Relaxed, Happy, Talkative, Sleepy, Giggly","Stress, Lack of Appetite, Nausea, Headaches, Inflammation",indica,4.9,"Minty,Earthy,Citrus"
Dutch Crunch,731,"Citrus, Pine","Relaxed, Hungry, Tingly, Focused, Aroused","Depression, Stress, Lack of Appetite",hybrid,4.2,"Spicy/Herbal,Pepper,Citrus"
Dutch Dragon,732,"Citrus, Sweet, Flowery","Euphoric, Happy, Energetic, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Headache, Muscle Spasms",sativa,4.5,"Citrus,Sweet,Mint"
Dutch Hawaiian,733,"Citrus, Sweet, Tropical","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Stress, Lack of Appetite, Nausea, Headache, Fatigue",sativa,4.3,"Citrus,Sweet,Tropical"
Dutch Kush,735,"Skunk, Spicy/Herbal, Tropical","Relaxed, Hungry, Euphoric, Sleepy, Giggly","Depression, Insomnia, Stress, Lack of Appetite",indica,3.9,"Coffee,Berry,Flowery"
Dutch Queen,736,"Sweet, Pine, Woody","Relaxed, Euphoric, Happy, Energetic","Depression, Stress, Headache, Fatigue, Headaches, Eye Pressure",hybrid,4.4,"Sweet,Earthy,Pungent"
Dutch Thunder Fuck,737,"Earthy, Citrus, Lemon","Euphoric, Happy, Creative, Talkative, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.9,"Earthy,Citrus,Lemon"
Dutch Treat,738,"Earthy, Sweet, Pine","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",hybrid,4.3,"Sweet,Pine,Earthy"
Dutch Treat Haze,739,"Sweet, Earthy, Citrus","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Inflammation",hybrid,4.5,"Earthy,Citrus,Berry"
Dutchberry,740,"Berry, Sweet, Earthy","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.5,"Berry,Sweet,Orange"
Dynamite,741,"Citrus, Grapefruit, Earthy","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Cramps, Headache, Inflammation",indica,4.4,"Citrus,Grapefruit,Earthy"
Early Girl,742,"Earthy, Sweet, Pine","Relaxed, Happy, Creative, Talkative, Uplifted","Depression, Pain, Stress, Inflammation, Muscle Spasms",indica,3.8,"Citrus,Earthy,Pine"
Early Miss,743,"Pepper, Ammonia, Chemical","Relaxed, Euphoric, Creative, Aroused","Depression, Lack of Appetite",hybrid,3.9,"Pepper,Ammonia,Spicy/Herbal"
Early Pearl,744,"Sweet, Ammonia","Relaxed, Hungry, Happy, Talkative","Nausea, Eye Pressure",sativa,3.9,"Sweet,Earthy,Tea"
Early Skunk,745,"Skunk, Flowery, Pungent","Relaxed, Euphoric, Happy, Energetic, Focused","Depression, Insomnia, Pain, Stress, Eye Pressure",hybrid,4.1,"Flowery,Skunk,Earthy"
Earthquake,747,"Earthy, Skunk, Woody","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Eye Pressure",hybrid,4.5,"Woody,Pine,Earthy"
East Coast Alien,749,"Diesel, Chemical, Earthy","Euphoric, Creative, Energetic, Uplifted, Focused","Depression, Insomnia, Stress, Lack of Appetite, Fatigue",sativa,4.4,"Diesel,Earthy,Spicy/Herbal"
East Coast Sour Diesel,750,"Diesel, Citrus, Pungent","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Eye Pressure",sativa,4.3,"Diesel,Pungent,Lemon"
Eastern European,751,"Earthy, Pine, Woody","Relaxed, Happy, Sleepy","Insomnia, Lack of Appetite, Fatigue, Headaches, Muscle Spasms",indica,5.0,"Earthy,Woody,Pine"
Easy Peezy,753,"Earthy, Lemon, Spicy/Herbal","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.5,"Lemon,Spicy/Herbal,Earthy"
Ecto Cooler,755,"Citrus, Chemical, Earthy","Relaxed, Euphoric, Happy, Creative, Energetic","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.4,"Citrus,Earthy,Chemical"
Ed Rosenthal Super Bud,756,"Earthy, Pine, Citrus","Relaxed, Euphoric, Energetic, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.3,"Earthy,Pine,Citrus"
Edelweiss,757,"Sweet, Berry, Lime","Relaxed, Hungry, Happy, Sleepy","Depression, Pain, Stress, Nausea, Headache, Fatigue",indica,4.1,"Sweet,Lime,Earthy"
Elderberry Kush,762,"Woody, Pungent, Earthy","Relaxed, Hungry, Happy, Sleepy, Giggly","Pain, Lack of Appetite, Fatigue, Eye Pressure, Muscle Spasms",hybrid,4.1,"Berry,Woody,Earthy"
Electric Black Mamba,763,"Earthy, Pine","Relaxed, Euphoric, Creative, Uplifted, Sleepy","Pain, Stress",indica,5.0,"Earthy,Pine"
Electric Kool Aid,764,"Berry, Diesel, Grape","Euphoric, Happy, Creative, Talkative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.8,"Berry,Grape,Diesel"
Electric Lemon G,765,"Lemon, Citrus, Lime","Relaxed, Euphoric, Energetic, Uplifted, Focused","Depression, Stress, Lack of Appetite, Headaches, Spasticity",sativa,4.2,"Lemon,Citrus,Lime"
Elephant,766,"Earthy, Sweet, Tropical","Relaxed, Happy, Creative, Energetic, Focused","Eye Pressure, Spasticity",sativa,4.0,"Sweet,Earthy,Tropical"
Elphinstone,767,"Citrus, Pine, Pungent","Relaxed, Happy, Creative, Focused",Stress,sativa,4.5,"Sweet,Skunk,Tropical"
Elvis,768,"Sweet, Citrus, Skunk","Relaxed, Creative, Talkative, Uplifted","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.6,"Sweet,Earthy,Flowery"
Emerald Jack,769,"Earthy, Skunk, Pungent","Euphoric, Happy, Creative, Energetic, Focused","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.4,"Earthy,Grape,Pine"
Emperor Cookie Dough,771,"Sweet, Citrus, Diesel","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Insomnia, Pain, Stress, Inflammation",hybrid,4.9,"Sweet,Citrus,Diesel"
Endless Sky,772,"Berry, Butter, Sweet","Relaxed, Hungry, Euphoric, Happy, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Muscle Spasms",indica,4.5,"Berry,Sweet,Butter"
Enigma,774,"Citrus, Pungent, Earthy","Relaxed, Hungry, Happy, Creative, Giggly","Depression, Insomnia, Pain, Nausea, Inflammation",indica,4.6,"Citrus,Pungent,Flowery"
Eran Almog,775,"Earthy, Citrus, Flowery","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Inflammation",indica,4.3,"Earthy,Citrus,Woody"
Erez,776,"Berry, Blueberry, Blue Cheese","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Inflammation",indica,4.3,"Flowery,Berry,Blueberry"
Eugene Cream,779,"Earthy, Sweet, Butter","Relaxed, Happy, Creative, Tingly, Sleepy","Depression, Insomnia, Pain, Stress, Cramps",hybrid,4.6,"Sweet,Earthy,Butter"
Euphoria Cookies,780,"Sweet, Citrus, Butter","Relaxed, Hungry, Euphoric, Creative, Uplifted","Depression, Insomnia, Nausea, Fatigue, Inflammation",hybrid,5.0,"Sweet,Citrus,Tropical"
Everlast,781,"Earthy, Skunk, Flowery","Relaxed, Euphoric, Happy, Tingly, Sleepy","Depression, Insomnia, Pain, Stress, Inflammation",indica,4.6,"Earthy,Skunk,Flowery"
Ewok,782,"Earthy, Woody, Citrus","Relaxed, Euphoric, Happy, Sleepy","Insomnia, Pain, Stress, Nausea, Headache, Muscle Spasms",hybrid,4.6,"Earthy,Woody,Pungent"
Exodus Cheese,783,"Cheese, Earthy, Pungent","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Insomnia, Pain, Stress, Headache, Fatigue",hybrid,4.3,"Cheese,Citrus,Blueberry"
Extreme Cream,784,"Blueberry, Earthy, Skunk","Relaxed, Hungry, Happy, Uplifted, Giggly","Depression, Pain, Stress, Nausea, Muscle Spasms",indica,4.8,"Butter,Sweet,Earthy"
Fast Eddy,789,"Citrus, Pungent, Skunk","Relaxed, Happy, Creative","Depression, Stress, Fatigue, Headaches, Eye Pressure",hybrid,4.2,"Citrus,Pungent,Skunk"
Fat Axl,790,"Diesel, Earthy, Skunk","Happy, Creative, Energetic, Talkative, Uplifted","Depression, Insomnia, Pain, Fatigue, Headaches",hybrid,4.3,"Diesel,Earthy,Skunk"
Fat Nelson,791,"Citrus, Pungent","Euphoric, Happy, Creative, Energetic, Uplifted",Stress,hybrid,4.6,"Citrus,Pungent,Sage"
Fat Purple,792,"Berry, Grape, Blueberry","Hungry, Happy, Creative, Focused, Giggly","Pain, Stress, Cramps, Headaches, Muscle Spasms",indica,4.7,"Berry,Grape,Sweet"
Faygo Red Pop,793,"Berry, Strawberry, Sweet","Relaxed, Euphoric, Happy, Creative, Giggly","Depression, Pain, Stress, Headaches, Eye Pressure",indica,4.8,"Strawberry,Spicy/Herbal,Sage"
Fire Alien Kush,795,"Earthy, Woody, Pungent","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Headaches",hybrid,4.5,"Earthy,Woody,Spicy/Herbal"
Fire Haze,796,"Sweet, Berry, Earthy","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.2,"Sweet,Berry,Earthy"
Flaming Cookies,799,"Spicy/Herbal, Earthy, Pungent","Relaxed, Euphoric, Happy, Uplifted, Tingly","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.2,"Spicy/Herbal,Sweet,Diesel"
Flo,800,"Earthy, Pine, Sweet","Relaxed, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Headache, Fatigue",hybrid,4.2,"Sweet,Earthy,Flowery"
Flowerbomb Kush,804,"Pungent, Sweet, Citrus","Relaxed, Euphoric, Happy, Creative, Focused","Depression, Pain, Stress, Lack of Appetite, Inflammation",indica,4.6,"Sweet,Earthy,Citrus"
Flowers For Algernon,805,"Diesel, Citrus, Lemon","Creative, Energetic, Talkative, Uplifted, Aroused","Depression, Insomnia, Lack of Appetite, Headaches, Muscle Spasms",hybrid,5.0,"Diesel,Citrus,Minty"
Fortune Cookies,806,"Honey, Diesel, Citrus","Relaxed, Euphoric, Happy, Creative, Energetic","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.6,"Earthy,Honey,Sweet"
Four Cups,807,"Earthy, Diesel, Pungent","Euphoric, Happy, Energetic, Focused, Aroused","Pain, Stress, Cramps, Fatigue, Headaches",hybrid,5.0,"Earthy,Diesel,Spicy/Herbal"
Frankenstein,811,"Earthy, Skunk, Citrus","Relaxed, Euphoric, Happy, Talkative, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Muscle Spasms",indica,4.4,"Lavender,Tobacco,Earthy"
Freezeland,813,"Sweet, Orange, Pine","Relaxed, Happy, Sleepy, Giggly","Depression, Insomnia, Stress, Lack of Appetite, Headache, Fatigue",indica,3.6,"Pine,Woody,Earthy"
Frida,814,"Lemon, Citrus, Sweet","Relaxed, Happy, Creative, Uplifted, Sleepy","Insomnia, Pain, Stress, Fatigue, Inflammation",indica,4.9,"Lemon,Earthy,Pine"
Frisian Dew,815,"Woody, Pine, Earthy","Relaxed, Euphoric, Happy, Tingly, Giggly","Depression, Pain, Stress, Lack of Appetite, Inflammation",hybrid,4.2,"Sweet,Citrus,Pungent"
Frisian Duck,816,"Pine, Spicy/Herbal, Berry","Hungry, Euphoric, Happy, Creative, Uplifted","Pain, Stress, Lack of Appetite, Fatigue, Headaches",hybrid,4.4,"Sweet,Citrus,Woody"
Frostbite,817,"Earthy, Skunk, Berry","Relaxed, Happy, Uplifted, Sleepy, Focused","Depression, Insomnia, Stress, Lack of Appetite, Fatigue",sativa,4.3,"Earthy,Skunk,Berry"
Frosted Freak,818,"Lime, Citrus, Vanilla","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Insomnia, Pain, Stress, Muscle Spasms",hybrid,4.8,"Flowery,Lime,Vanilla"
Frosty,819,"Sweet, Berry, Flowery","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.4,"Earthy,Sweet,Skunk"
Fruit Loops,820,"Sweet, Berry, Flowery","Relaxed, Hungry, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Headaches",hybrid,4.5,"Sweet,Berry,Lemon"
Fruit Punch,821,"Sweet, Berry, Tropical","Euphoric, Happy, Energetic, Talkative, Uplifted","Depression, Pain, Stress, Nausea, Headache, Fatigue",sativa,4.6,"Sweet,Berry,Skunk"
Fruit Spirit,822,"Blueberry, Spicy/Herbal, Earthy","Relaxed, Euphoric, Happy, Energetic, Sleepy","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",hybrid,4.4,"Earthy,Blueberry,Sweet"
Fruity Chronic Juice,823,"Citrus, Grapefruit, Sweet","Relaxed, Euphoric, Happy, Talkative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.2,"Citrus,Grapefruit,Tropical"
Fruity Pebbles,824,"Sweet, Berry, Tropical","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.4,"Sweet,Tropical,Berry"
Fruity Widow,825,"Blueberry, Sweet","Relaxed, Hungry, Happy, Creative, Sleepy","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.9,"Sweet,Blueberry"
Fruitylicious,826,"Blueberry, Sweet, Berry","Relaxed, Euphoric, Happy","Depression, Insomnia, Pain, Stress, Eye Pressure",indica,4.0,"Sweet,Blueberry,Minty"
Fucking Incredible,827,"Earthy, Skunk, Pine","Relaxed, Happy, Sleepy, Giggly","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.3,"Earthy,Pungent,Woody"
Full Moon,828,"Spicy/Herbal, Ammonia, Citrus","Hungry, Happy, Energetic, Uplifted, Aroused","Depression, Stress, Lack of Appetite, Fatigue",sativa,4.9,"Spicy/Herbal,Citrus,Earthy"
Funfetti,829,"Earthy, Sweet, Flowery","Hungry, Happy, Energetic, Uplifted, Giggly","Depression, Insomnia, Pain, Stress, Muscle Spasms",hybrid,4.8,"Berry,Woody,Earthy"
Funky Monkey,830,"Earthy, Berry, Sweet","Relaxed, Happy, Tingly, Sleepy, Giggly","Insomnia, Pain, Stress, Lack of Appetite, Nausea, Headache",indica,4.4,"Grape,Earthy,Berry"
Future,831,"Pine, Earthy, Ammonia","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Inflammation",hybrid,4.8,"Diesel,Earthy,Citrus"
G13 Diesel,841,"Sweet, Diesel, Skunk","Relaxed, Euphoric, Happy, Creative, Focused","Depression, Pain, Stress, Headaches, Inflammation",hybrid,4.8,"Sweet,Diesel,Skunk"
G13 Haze,842,"Sweet, Earthy, Pine","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Nausea, Eye Pressure",hybrid,4.4,"Pine,Sweet,Earthy"
G13 Widow,843,"Earthy, Flowery, Lime","Euphoric, Creative, Energetic, Tingly, Focused","Depression, Pain, Stress, Headache, Fatigue, Inflammation",hybrid,4.8,"Flowery,Earthy,Lime"
Galactic Jack,847,"Sweet, Citrus, Grapefruit","Relaxed, Happy, Energetic, Uplifted, Focused","Depression, Stress, Lack of Appetite, Fatigue, Headaches",sativa,4.6,"Citrus,Sweet,Flowery"
Game Changer,848,"Earthy, Spicy/Herbal, Grape","Relaxed, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.5,"Earthy,Grape,Apple"
Ganesh Berry,850,"Flowery, Sweet, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Stress, Fatigue, Headaches, Eye Pressure",hybrid,4.6,"Flowery,Sweet,Berry"
Garlic Bud,851,"Pungent, Skunk, Tar","Relaxed, Creative, Giggly, Aroused","Depression, Insomnia, Pain, Lack of Appetite, Fatigue",indica,4.1,"Earthy,Woody,Pepper"
Gelato,853,"Sweet, Pungent, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.7,"Sweet,Pungent,Flowery"
Gemstone,854,"Tea, Citrus, Grapefruit","Relaxed, Hungry, Euphoric, Happy, Focused","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.8,"Citrus,Flowery,Earthy"
Georgia Pine,855,"Flowery, Sweet, Pine","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Lack of Appetite, Fatigue, Muscle Spasms",hybrid,4.8,"Sweet,Flowery,Pine"
Ghost Bubba,856,"Pungent, Flowery, Earthy","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Headaches, Inflammation",hybrid,4.6,"Sweet,Pungent,Grape"
Ghost Ship,859,"Earthy, Pungent, Skunk","Relaxed, Euphoric, Happy, Tingly, Sleepy","Depression, Insomnia, Pain, Stress, Cramps",indica,4.0,"Earthy,Pungent,Skunk"
Ghost Train Haze,860,"Citrus, Earthy, Sweet","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.6,"Earthy,Citrus,Pine"
Gigabud,861,"Pine, Tree Fruit, Tropical","Relaxed, Hungry, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Nausea, Headache",indica,4.4,"Sweet,Spicy/Herbal,Tropical"
Ginger Ale,862,"Apricot, Berry, Diesel","Relaxed, Euphoric, Happy, Tingly, Aroused","Insomnia, Pain, Stress, Headache, Inflammation, Muscle Spasms",hybrid,4.9,"Berry,Earthy,Diesel"
Glad Max,864,"Flowery, Pungent, Spicy/Herbal","Relaxed, Euphoric, Creative, Energetic, Focused","Depression, Pain, Stress, Lack of Appetite, Inflammation",hybrid,4.3,"Earthy,Sweet,Flowery"
Glass Apple,865,"Apple, Minty, Plum","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Lack of Appetite, Fatigue, Headaches",hybrid,4.8,"Apple,Sweet,Minty"
Glass Slipper,866,"Pineapple, Sweet, Pungent","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Nausea, Headache",hybrid,4.3,"Sweet,Earthy,Flowery"
Glue Tech,867,"Citrus, Diesel, Lime","Happy, Energetic, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.6,"Earthy,Sweet,Berry"
Go Time,868,"Earthy, Tea, Woody","Relaxed, Euphoric, Energetic, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Inflammation",hybrid,4.3,"Earthy,Woody,Tea"
Gobbilygoo,869,"Berry, Grape, Lavender","Relaxed, Hungry, Euphoric, Happy, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Headaches",indica,4.5,"Berry,Grape,Lavender"
Gobbstopper,870,"Berry, Skunk, Sweet","Relaxed, Hungry, Happy, Uplifted, Focused","Depression, Stress, Lack of Appetite, Nausea",indica,4.5,"Spicy/Herbal,Sweet,Berry"
God Bud,871,"Earthy, Pungent, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Inflammation",indica,4.3,"Pungent,Earthy,Sweet"
Godberry,874,"Berry, Blueberry, Sweet","Relaxed, Euphoric, Happy, Sleepy, Giggly","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",indica,4.6,"Earthy,Berry,Blueberry"
Godfather Purple Kush,876,"Berry, Grape, Spicy/Herbal","Relaxed, Euphoric, Happy, Talkative, Sleepy","Insomnia, Pain, Stress, Headaches, Inflammation",indica,4.3,"Berry,Spicy/Herbal,Pungent"
Godzilla,877,"Earthy, Berry, Diesel","Relaxed, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Inflammation",indica,4.3,"Earthy,Flowery,Woody"
Godzilla Glue,878,"Earthy, Sweet, Citrus","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Nausea, Headaches",hybrid,4.7,"Tropical,Spicy/Herbal,Sweet"
Goji Diesel,882,Diesel,"Relaxed, Euphoric, Creative, Uplifted, Focused","Depression, Stress, Cramps, Fatigue, Headaches",hybrid,4.8,Diesel
Goldberry,885,"Earthy, Mint, Tea","Euphoric, Tingly","Pain, Stress, Nausea, Fatigue, Eye Pressure",indica,4.5,"Mint,Earthy,Woody"
Golden Gage,886,"Pepper, Citrus, Lemon","Euphoric, Happy, Energetic, Focused, Aroused","Depression, Pain, Stress, Fatigue",hybrid,4.4,"Pepper,Spicy/Herbal,Citrus"
